date,spy,vix,sp20vol
2008-02-14,135.17,25.54,0.239642014
2008-02-15,135.14,25.02,0.215037356
2008-02-19,135.52,25.59,0.213663784
2008-02-20,135.92,24.4,0.210227361
2008-02-21,134.79,25.12,0.203171919
2008-02-22,135.62,24.06,0.201914274
2008-02-25,137.33,23.03,0.19819968
2008-02-26,138.36,21.9,0.190288678
2008-02-27,138.22,22.69,0.189433787
2008-02-28,136.87,23.53,0.191604375
2008-02-29,133.82,26.54,0.205004484
2008-03-03,133.5,26.28,0.198568959
2008-03-04,132.99,25.52,0.196279453
2008-03-05,133.83,24.6,0.162144481
2008-03-06,131.06,27.55,0.178289547
2008-03-07,129.71,27.49,0.177164805
2008-03-10,128,29.38,0.183750179
2008-03-11,132.6,26.36,0.229629732
2008-03-12,131.36,27.22,0.229500831
2008-03-13,131.65,27.29,0.2240541
2008-03-14,129.61,31.16,0.230534658
2008-03-17,128.3,32.24,0.231443117
2008-03-18,133.63,25.79,0.281525839
2008-03-19,130.32,29.84,0.291542731
2008-03-20,132.08,26.62,0.302675645
2008-03-24,134.72,25.73,0.30647668
2008-03-25,134.85,25.72,0.302319685
2008-03-26,133.2,26.08,0.302328334
2008-03-27,132.78,25.88,0.304458664
2008-03-28,131.51,25.71,0.30417166
2008-03-31,131.97,25.61,0.289917515
2008-04-01,136.61,22.68,0.316926765
2008-04-02,136.7,23.43,0.316650809
2008-04-03,137.04,23.21,0.316375873
2008-04-04,136.89,22.45,0.304004913
2008-04-07,136.96,22.42,0.301243198
2008-04-08,136.82,22.36,0.294932946
2008-04-09,135.83,22.81,0.269454796
2008-04-10,136.02,21.98,0.266790542
2008-04-11,133.38,23.46,0.278040082
2008-04-14,132.93,23.82,0.266757254
2008-04-15,133.24,22.78,0.263918992
2008-04-16,136.85,20.53,0.231511612
2008-04-17,137.05,20.37,0.210874648
2008-04-18,138.48,20.13,0.203977615
2008-04-21,138.55,20.5,0.198427817
2008-04-22,137.94,20.87,0.201705314
2008-04-23,137.72,20.26,0.198502772
2008-04-24,138.32,20.06,0.193097476
2008-04-25,139.6,19.59,0.189608697
2008-04-28,139.63,19.64,0.189906216
2008-04-29,139.08,20.24,0.145120557
2008-04-30,138.26,20.79,0.145754299
2008-05-01,141.12,18.88,0.157034255
2008-05-02,141.51,18.18,0.157130391
2008-05-05,140.83,18.9,0.158637649
2008-05-06,142.05,18.21,0.158266016
2008-05-07,139.52,19.73,0.170238962
2008-05-08,139.16,19.4,0.17007278
2008-05-09,138.9,19.41,0.152931494
2008-05-12,140.46,17.79,0.154638862
2008-05-13,140.48,17.98,0.154883232
2008-05-14,140.77,17.66,0.135673866
2008-05-15,142.53,16.3,0.139262535
2008-05-16,142.66,16.47,0.125741697
2008-05-19,143.05,17.01,0.125310811
2008-05-20,141.89,17.58,0.125821154
2008-05-21,139.49,18.59,0.139964392
2008-05-22,139.51,18.05,0.138433982
2008-05-23,137.64,19.55,0.144167976
2008-05-27,138.66,19.64,0.146653427
2008-05-28,139.3,19.07,0.146792734
2008-05-29,140,18.14,0.147188457
2008-05-30,140.35,17.83,0.13357362
2008-06-02,138.9,19.83,0.137613311
2008-06-03,138.09,20.24,0.138114948
2008-06-04,138.02,20.8,0.134310659
